lines,probs,did_occur
lights out and away we go,1.0,y
concertina effect,0.2,n
two secs ted,0.7,n
a day late and a dollar short,0.1,n
<explains DRS>,0.8,n
two into one won't go,0.5,y
loud pedal,0.05,n
wheel to wheel,0.9,y
gambling,0.2,n
cars abreast / astern,0.2,n
tank slapper,0.05,n
caught napping,0.1,n
undercut / overcut,0.8,n
-indeed,0.8,n
<wrong driver named>,0.5,n
brilliant racing,0.9,n
[colour] striped tyres,0.9,n
full beans,0.4,n
big lock up there,0.8,y
sky race control,0.7,y
down the inside / round the outside,0.3,y
flat out,0.5,n
ted down to you,0.1,n
gaining,0.7,n
yielding,0.7,n
